UBV CCD observations

  No    Ref    V       B-V     U-B
 0722   522  17.252   1.196   0.433
 0723   522  17.670   1.057   0.609
 0724   522  15.063   0.617   0.215
 0725   522  16.890   1.578   1.218
 0726   522  16.388   0.657   0.405
 0727   522  17.346   1.009   0.476
 0728   522  16.430   0.794   0.343
 0729   522  15.641   0.571   0.463
 0730   522  12.336   0.055  -0.279
 0731   522  18.495   1.069   0.616
 0732   522  16.074   0.704   0.231
 0733   522  17.234   0.707   0.332
 0734   522  17.680   0.870   0.402
 0735   522  17.398   1.124   0.740
 0736   522  17.601   1.037   0.665
 0737   522  16.947   0.765   0.219
 0738   522  18.716   1.020   0.537
 0739   522  18.643   0.934   0.337
 0740   522  18.796   1.105   0.952
 0741   522  15.751   0.747   0.304
 0742   522  17.441   1.057   0.595
 0743   522  13.930   1.360   1.226
 0744   522  17.983   0.929   0.394
 0745   522  14.605  -0.380   0.162
 0746   522  16.984   1.100   0.732
 0747   522  13.078   1.305   1.071
 0748   522  17.524   0.839   0.270
 0749   522  15.886   0.726   0.271
 0750   522  17.454   1.145   0.646
 0751   522  18.406   1.197   0.911
 0752   522  13.239   0.147  -0.026
 0753   522  19.110   1.616   1.033
 0754   522  18.185   0.973   0.498
 0755   522  16.835   0.754   0.508
 0756   522  19.310   0.980   0.347
 0757   522  19.098   1.286   0.875
 0758   522  18.451   0.975   0.275
 0759   522  13.005   0.275   0.296
 0760   522  12.691   0.498   0.060
 0761   522  17.757   1.214   0.646
 0762   522  17.013   0.761   0.291
 0763   522  12.837   0.549   0.049
 0764   522  13.667   0.167   0.114
 0765   522  18.449   0.960   0.302
 0766   522  17.230   0.774   0.314
 0767   522  17.808   0.989   0.617
 0768   522  14.370   1.321   0.920
 0769   522  15.918   0.722   0.238
 0770   522  18.665   1.173   1.858
 0771   522  18.931   1.127   0.626
 0772   522  18.478   1.008   0.774
 0773   522  17.479   0.791   0.352
 0774   522  18.462   0.933   0.638
 0775   522  15.285   0.671   0.223
 0776   522  18.703   1.049   0.377
 0777   522  18.302   0.877   0.123
 0778   522  15.301   0.573   0.204
 0779   522  15.772   0.667   0.233
 0780   522  17.570   0.700   0.258
 0781   522  18.140   1.156   0.639
 0782   522  19.119   1.114   0.613
 0783   522  16.699   0.882   0.893
 0784   522  17.092   1.215   0.764
 0785   522  17.608   2.344   1.681
 0786   522  18.865   1.270   0.929
 0787   522  16.240   0.900   0.455
 0788   522  18.288   0.816   0.436
 0789   522  17.154   0.882   0.294
 0790   522  16.692   0.621   0.333
 0791   522  18.326   0.959   0.486
 0792   522  17.667   0.784   0.156
 0793   522  17.931   0.957   0.447
 0794   522  17.008   0.921   0.312
 0795   522  17.617   1.045   0.492
 0796   522  15.921   1.085   0.787
 0797   522  16.450   0.904   0.387
 0798   522  18.845   1.144   0.679
 0799   522  15.763   0.755   0.253
 0800   522  18.361   0.994   0.575
 0801   522  18.061   1.207   0.817
 0802   522  17.541   0.918   0.449
 0803   522  17.291   0.842   0.283
 0804   522  17.873   1.089   0.675
 0805   522  16.906   0.845   0.291
 0806   522  14.956   0.673   0.113
 0807   522  16.459   0.789   0.482
 0808   522  15.291   1.269   1.034
 0809   522  18.316   1.370   1.244
 0810   522  16.856   1.650   0.443
 0811   522  17.643   1.076   0.774
 0812   522  15.004   0.520   0.454
 0813   522  18.164   1.057   0.784
 0814   522  18.562   1.126   0.684
 0815   522  17.407   0.933   0.393
 0816   522  16.888   1.231   1.016
 0817   522  16.426   0.685   0.247
 0818   522  16.843   0.755   0.196
 0819   522  17.904   1.125   0.842
 0820   522  17.169   0.837   0.320
 0821   522  18.474   1.249   0.847
 0822   522  15.928   0.625   0.237
 0823   522  15.489   0.541   0.253
 0824   522  16.453   0.817   0.243
 0825   522  18.396   1.164   0.774
 0826   522  17.320   0.750   0.185
 0827   522  16.860   0.689   0.133
 0828   522  17.557   0.942   0.488
 0829   522  16.270   1.746   1.600
 0830   522  12.852   0.390  -0.119
 0831   522  14.198   0.276   0.304
 0832   522  18.882   1.022   0.102
 0833   522  18.919   1.015   0.344
 0834   522  17.740   0.825   0.307
 0835   522  17.209   0.851   0.359
 0836   522  14.959   0.637   0.376
 0837   522  16.742   0.647   0.207
 0838   522  17.123   1.021   0.672
 0839   522  16.759   0.739   0.146
 0840   522  15.695   0.885   0.136
 0841   522  17.485   0.808   0.362
 0842   522  19.012   1.223   1.007
 0843   522  18.260   1.215   1.358
 0844   522  19.173   1.069   1.350
 0845   522  15.510   1.655   1.530
 0846   522  13.780   1.955   2.014
 0847   522  17.187   0.695   0.307
 0848   522  15.287   0.836   0.341
 0849   522  18.717   1.201   1.289
 0850   522  15.532   0.675   0.182
 0851   522  17.895   0.996   0.413
 0852   522  16.962   0.845   0.348
 0853   522  16.151   0.544   0.343
 0854   522  17.710   1.064   0.622
 0855   522  18.748   1.201   0.778
 0856   522  14.391   0.401   0.359
 0857   522  14.814   0.452   0.359
 0858   522  15.702   0.887   0.331
 0859   522  15.546   0.774   0.322
 0860   522  15.936   0.701   0.238
 0861   522  15.369   0.593   0.306
 0862   522  16.230   0.648   0.340
 0863   522  15.885   0.866   0.433
 0864   522  17.665   0.786   0.297
 0865   522  15.840   1.212   0.874
 0866   522  12.480   0.175   0.171
 0867   522  16.893   0.909   0.421
 0868   522  18.061   1.083   0.291
 0869   522  19.544   1.247   0.694
 0870   522  17.525   0.931   0.636
 0871   522  17.688   0.892   0.532
 0872   522  19.043   1.840   1.635
 0873   522  18.993   1.438   1.583
 0874   522  18.846   1.108   0.589
 0875   522  16.039   0.892   0.846
 0876   522  16.518   1.079   0.681
 0877   522  12.974   0.372   0.231
 0878   522  15.301   1.487   1.198
 0879   522  18.996   0.946   0.602
 0880   522  18.742   1.221   0.819
 0881   522  18.027   1.149   0.814
 0882   522  15.695   0.961   0.118
 0883   522  16.541   0.638   0.330
 0884   522  19.046   1.037   0.809
 0885   522  14.429   0.569   0.093
 0886   522  16.040   0.838   0.325
 0887   522  11.684   1.889   2.061
 0888   522  18.486   1.137   0.568
 0889   522  17.460   0.860   0.586
 0890   522  16.794   0.861   0.454
 0891   522  13.591   0.237   0.214
 0892   522  15.785   0.573   0.215
 0893   522  16.430   1.045   0.543
 0894   522  17.089   1.258   0.624
 0895   522  16.638   1.769   1.499
 0896   522  15.633   1.697   1.448
 0897   522  14.888   0.655   0.219
 0898   522  17.029   1.007   0.632
 0899   522  13.798   1.566   1.370
 0900   522  17.109   1.102   0.828
 0901   522  17.394   0.819   0.279
 0902   522  16.701   1.117   0.559
 0903   522  14.734   0.509   0.315
 0904   522  17.211   0.865   0.583
 0905   522  14.854   0.411   0.333
 0906   522  18.068   1.000   0.654
 0907   522  17.512   1.179   0.578
 0908   522  18.351   1.221   0.800
 0909   522  18.444   0.966   0.644
 0910   522  16.868   0.781   0.277
 0911   522  15.266   1.479   1.084
 0912   522  15.503   0.747   0.254
 0913   522  16.265   1.140   0.701
 0914   522  17.250   0.719   0.161
 0915   522  16.655   0.900   0.440
 0916   522  15.367   0.558   0.170
 0917   522  13.441   0.365   0.302
 0918   522  13.395   0.294   0.287
 0919   522  17.454   0.860   0.333
 0920   522  17.442   0.825   0.345
 0921   522  17.695   0.989   0.363
 0922   522  18.795   1.151   1.406
 0923   522  17.006   0.871   0.371
 0924   522  13.837   1.371   1.194
 0925   522  18.754   1.112   0.368
 0926   522  16.521   0.599   0.455
 0927   522  15.899   0.533   0.288
 0928   522  16.672   0.865   0.295
 0929   522  18.220   1.060   0.490
 0930   522  13.690   1.745   1.751
 0931   522  19.358   1.157   0.804
 0932   522  16.610   0.727   0.244
 0933   522  15.185   0.685   0.258
 0934   522  15.912   0.714   0.239
 0935   522  17.620   0.928   0.536
 0936   522  15.624   0.823   0.382
 0937   522  16.845   1.029   0.532
 0938   522  17.620   0.873   0.367
