UBV CCD observations

  No    Ref    V       B-V     U-B

3102	505			
3103	505			
3104	505			
3106	505			
3108	505			
3109	505			
3110	505			
3111	505			
3115	505			
3116	505			
3118	505			
3119	505			
3120	505			
3121	505			
3122	505			
3123	505			
3124	505			
3126	505			
3127	505			
3128	505			
3129	505			
3132	505			
3133	505			
3135	505			
3136	505			
3137	505			
3138	505			
3139	505			
3140	505			
3141	505			
3143	505			
3145	505			
3146	505			
3147	505			
3148	505			
3150	505			
3151	505			
3152	505			
3154	505			
3158	505			
3162	505			
3166	505			
3167	505			
3168	505			
3169	505			
3170	505			
3175	505			
3176	505			
3177	505			
3178	505			
3179	505			
3180	505			
3181	505			
3182	505			
3183	505			
3184	505			
3185	505			
3187	505			
3188	505			
3189	505			
3190	505			
3193	505			
3194	505			
3195	505			
3197	505			
3198	505			
3201	505			
3202	505			
3204	505			
3205	505			
3206	505			
3207	505			
3208	505			
3209	505			
3210	505			
3211	505			
3213	505			
3216	505			
3217	505			
3218	505			
3219	505			
3221	505			
3223	505			
3224	505			
3225	505			
3226	505			
3231	505			
3235	505			
3236	505			
3237	505			
3239	505			
3240	505			
3241	505			
3242	505			
3243	505			
3244	505			
3245	505			
3246	505			
